errorX,errorY,errorZ,estimatedX,estimatedY,estimatedZ,actualX,actualY,actualZ,PercenterrorX,PercenterrorY,PercenterrorZ,timediff
1.2197297564672804e-07,3.972717594682984e-07,2.6184771684256702e-08,0.019589062869639153,0.041756775111734805,-21.503227604593835,0.0195891848426148,0.04175717238349427,-21.503227630778607,0.0006226546771940454,0.0009513856824877623,-1.2177135513729658e-07,0.16198468208312988
1.5808826719608537e-06,3.599233744246144e-06,3.221095745686853e-07,0.019589124832896477,0.04175676567000666,-21.503227613271317,0.019590705715568438,0.04176036490375091,-21.50322793538089,0.008069554486261055,0.008618779439647237,-1.4979591693705387e-06,0.9220128059387207
4.0686369016627866e-06,8.905500470710037e-06,8.223119642991605e-07,0.01958915374175814,0.0417567382480764,-21.503227618357002,0.019593222378659802,0.04176564374854711,-21.503228440668966,0.020765532197981853,0.02132255047791483,-3.824132578826747e-06,1.7589237689971924
6.0248925369751904e-06,1.3114885701534518e-05,1.2191793921090266e-06,0.01958919727355792,0.04175671946061707,-21.50322762427855,0.019595222166094894,0.041769834346318604,-21.503228843457943,0.030746742679957497,0.03139798351316757,-5.669750347655091e-06,2.5881993770599365
7.692691011907532e-06,1.6680464413956764e-05,1.5571509841549869e-06,0.01958922678145945,0.04175670728053614,-21.503227629220873,0.019596919472471358,0.0417733877449501,-21.503229186371858,0.039254593165593134,0.03993083949954055,-7.241475085713476e-06,3.4265573024749756
9.24669179541357e-06,1.9869169770592165e-05,1.8731008317729447e-06,0.01958919579081672,0.04175670398825089,-21.503227621940326,0.019598442482612135,0.04177657315802148,-21.503229495041158,0.04718074818250121,0.04756055432176372,-8.710788452520115e-06,4.248676061630249
1.0540541773174789e-05,2.2522100673896817e-05,2.136614853043284e-06,0.019589181405196512,0.041756724412959134,-21.503227618576137,0.019599721946969687,0.04177924651363303,-21.50322975519099,0.053779037282743,0.0539073883645738,-9.936250867279572e-06,5.105046272277832
1.1613886994919081e-05,2.47647502006898e-05,2.3587804136582236e-06,0.01958918292464993,0.0417567253753092,-21.503227615665324,0.01960079681164485,0.04178149012550989,-21.503229974445738,0.05925211666915124,0.059272060729039344,-1.0969423739881772e-05,5.925679922103882
3.234766417113677e-05,0.00010786953857820636,3.306669224656389e-06,0.019634046175897486,0.04167550057073942,-21.50323346584725,0.01960169851172635,0.041783370109317625,-21.503230159178024,0.16502480206899103,0.25816380606922756,-1.5377546536863135e-05,6.764739274978638
3.158258043639908e-05,0.00010944452898035278,3.1522846093423595e-06,0.01963402304196976,0.04167546831276368,-21.503233466540387,0.019602440461533362,0.041784912841744036,-21.503230314255777,0.16111555343516956,0.2619235545491322,-1.4659586319235587e-05,7.597848892211914
3.105302286082398e-05,0.00011050265438712625,3.0292639969786705e-06,0.019634018760892866,0.041675497270691655,-21.503233459046854,0.01960296573803204,0.04178599992507878,-21.503230429782857,0.1584098206149363,0.2644489890998293,-1.4087483305685158e-05,8.425819396972656
3.059884750828204e-05,0.0001114810313997891,2.9147175908406098e-06,0.01963403897410736,0.0416754908880902,-21.50323346069041,0.019603440126599078,0.04178697191948999,-21.50323054597282,0.15608917266905495,0.26678418243508306,-1.3554789289028414e-05,9.3002347946167
3.0286755571918428e-05,0.0001120308233602263,2.820201167708092e-06,0.01963400917366016,0.041675505460635635,-21.50323345167567,0.01960372241808824,0.04178753628399586,-21.5032306314745,0.15449492155618882,0.26809626343808357,-1.31152440116609e-05,10.116719245910645
3.0191195531957538e-05,0.00011236691115710379,2.7574083638626234e-06,0.019634073219694317,0.041675465979886,-21.50323346393398,0.01960388202416236,0.041787832891043104,-21.503230706525617,0.15400620904954437,0.2688986324083553,-1.2823228292973803e-05,10.93471908569336
3.0222083565262237e-05,0.00011238462173045888,2.7036454461892845e-06,0.019634122791626095,0.041675438813231394,-21.503233471655545,0.019603900708060833,0.04178782343496185,-21.5032307680101,0.15416362292038832,0.2689410753957386,-1.257320574455928e-05,11.785612344741821
3.0346974381992298e-05,0.00011212183297613226,2.662327041491608e-06,0.019634139792627958,0.04167541793949933,-21.50323347801214,0.019603792818245966,0.041787539772475464,-21.5032308156851,0.15480154612604996,0.26831403233263434,-1.2381055964621032e-05,12.597528457641602
3.288379670145572e-05,0.00010290294068268646,5.425121965885182e-06,0.019634155419862426,0.04167539856269528,-21.503233484074883,0.01960127162316097,0.04177830150337797,-21.503228058952917,0.16776358867758376,0.24630714265482115,-2.5229337432555484e-05,13.46435832977295
0.0002843348665813577,0.012563906470226052,0.0001233942976632818,0.01538110580658608,0.04901165119762425,-21.503309190864382,0.015665440673167438,0.036447744727398194,-21.503432585162045,1.8150454399178242,34.47101203159387,-0.0005738353501218556,14.276339292526245
0.019827212749174324,0.005234438083090119,0.018387608780276565,0.028934542642328462,0.03969264389741402,-21.526396871024012,0.009107329893154138,0.0344582058143239,-21.508009262243736,217.70610027070813,15.19068668663596,-0.08549191399389584,15.086893796920776
0.016523540961963904,0.020663601348391448,0.014861051964846439,0.034555066252026256,0.026013252019682038,-21.53184561755823,0.018031525290062352,0.046676853368073486,-21.516984565593383,91.63695636480882,44.26948231802864,-0.06906661070255134,15.892724990844727
0.007929153005038228,0.04339203494311264,0.005738234870531045,0.048471179310531715,0.028334602845008272,-21.524165865812243,0.040542026305493487,0.07172663778812091,-21.529904100682774,19.557860638958292,60.4964017291482,-0.026652394008336848,16.735957384109497
